Nume,CodFiscal,Judet,Telefon,CifraDeAfaceriNetaRON2021,ProfitNetRON2021,CotaDePiata2021,CodCAEN2021,DescriereCodCAEN2021,Salariati2020,CifraDeAfaceriNetaRON2020,ProfitNetRON2020,CotaDePiata2020,CodCAEN2020,DescriereCodCAEN2020,Salariati2019,CifraDeAfaceriNetaRON2019,ProfitNetRON2019,CotaDePiata2019,CodCAEN2019,DescriereCodCAEN2019,Salariati2018,CifraDeAfaceriNetaRON2018,ProfitNetRON2018,CotaDePiata2018,CodCAEN2018,DescriereCodCAEN2018
S.C.PACKAGING STORE SRL,39289401,ALBA,-,156000,19411,0%,1721,Fabricarea hârtiei si cartonului ondulat si a ambalajelor din hârtie si carton,4.0,58000.0,0.0,0%,1721.0,Fabricarea hârtiei si cartonului ondulat si a ambalajelor din hârtie si carton,4.0,0.0,0.0,0%,1721.0,Fabricarea hârtiei si cartonului ondulat si a ambalajelor din hârtie si carton,nan,nan,nan,nan,nan,nan
S.C.AUTO ARIZONA SRL,39308341,MUREŞ,-,427581,123037,0%,4120,Lucrari de constructie a cladirilor rezidentiale si nerezidentiale,4.0,362705.0,80623.0,0%,4120.0,Lucrari de constructie a cladirilor rezidentiale si nerezidentiale,1.0,19737.0,0.0,0%,4120.0,Lucrari de constructie a cladirilor rezidentiale si nerezidentiale,nan,nan,nan,nan,nan,nan
DENIMOB LUX SRL,39309932,SIBIU,-,262708,324,0.02%,3101,Fabricarea de mobila pentru birouri si magazine,3.0,243478.0,5124.0,0.02%,3101.0,Fabricarea de mobila pentru birouri si magazine,1.0,225800.0,0.0,0.02%,3101.0,Fabricarea de mobila pentru birouri si magazine,0.0,112740.0,21604.0,0.01%,3101.0,Fabricarea de mobila pentru birouri si magazine
S.C. DIG GARDENLAND SRL,39314068,ALBA,-,354867,119276,0.02%,1623,"Fabricarea altor elemente de dulgherie si tâmplarie, pentru constructii",4.0,262575.0,76601.0,0.02%,1623.0,"Fabricarea altor elemente de dulgherie si tâmplarie, pentru constructii",0.0,97850.0,71147.0,0.01%,1623.0,"Fabricarea altor elemente de dulgherie si tâmplarie, pentru constructii",0.0,23700.0,21054.0,0%,1623.0,"Fabricarea altor elemente de dulgherie si tâmplarie, pentru constructii"
SC AVANTAJ CONSTRUCTII SERVICE SRL,39316522,BRAŞOV,-,62242,0,0%,4120,Lucrari de constructie a cladirilor rezidentiale si nerezidentiale,4.0,15996.0,5827.0,0%,4120.0,Lucrari de constructie a cladirilor rezidentiale si nerezidentiale,2.0,1500.0,0.0,0%,4120.0,Lucrari de constructie a cladirilor rezidentiale si nerezidentiale,0.0,0.0,0.0,0%,4120.0,Lucrari de constructie a cladirilor rezidentiale si nerezidentiale
Epic One Beauty S.r.l,39318272,MUREŞ,-,2745654,752788,0.02%,4791,Comert cu amanuntul prin intermediul caselor de comenzi sau prin Internet,13.0,2699894.0,286799.0,0.02%,4791.0,Comert cu amanuntul prin intermediul caselor de comenzi sau prin Internet,4.0,1538061.0,394896.0,0.24%,4616.0,"Intermedieri în comertul cu textile, confectii din blana , încaltaminte si articole din piele Aceasta clasa exclude:",1.0,409522.0,115985.0,0.06%,4616.0,"Intermedieri în comertul cu textile, confectii din blana , încaltaminte si articole din piele Aceasta clasa exclude:"
S.C. GI. VA. IOANA PREST SRL,39318795,BRAŞOV,0767094051,247933,57130,0.01%,812,Extractia pietrisului si nisipului; extractia argilei si caolinului,6.0,208758.0,23086.0,0.01%,812.0,Extractia pietrisului si nisipului; extractia argilei si caolinului,3.0,115233.0,12612.0,0.01%,812.0,Extractia pietrisului si nisipului; extractia argilei si caolinului,nan,nan,nan,nan,nan,nan
SC FILTEX MOD SRL,39328306,SIBIU,-,475636,0,0.01%,1413,Fabricarea altor articole de îmbracaminte (exclusiv lenjeria de corp),23.0,563864.0,1568.0,0.01%,1413.0,Fabricarea altor articole de îmbracaminte (exclusiv lenjeria de corp),21.0,87116.0,0.0,0%,1413.0,Fabricarea altor articole de îmbracaminte (exclusiv lenjeria de corp),nan,nan,nan,nan,nan,nan
ADALYS PREPARATE SRL,39334928,MUREŞ,-,0,61,0%,1085,Fabricarea de mâncaruri preparate,4.0,0.0,498.0,0%,1085.0,Fabricarea de mâncaruri preparate,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ANDREY INTERPROF SRL,39351546,SIBIU,0740794615,548627,158912,0.03%,812,Extractia pietrisului si nisipului; extractia argilei si caolinului,2.0,40600.0,0.0,0%,812.0,Extractia pietrisului si nisipului; extractia argilei si caolinului,0.0,4200.0,0.0,0%,812.0,Extractia pietrisului si nisipului; extractia argilei si caolinului,nan,nan,nan,nan,nan,nan
BETONDEN SRL,39355670,ALBA,0752633167,130766,198781,0%,2361,Fabricarea produselor din beton pentru constructii,5.0,22355.0,0.0,0%,2361.0,Fabricarea produselor din beton pentru constructii,0.0,0.0,0.0,0%,2361.0,Fabricarea produselor din beton pentru constructii,nan,nan,nan,nan,nan,nan
PICCA MOB SRL,39357980,BRAŞOV,0732526846,724746,93943,0.01%,3109,Fabricarea de mobila n.c.a.,4.0,420245.0,54911.0,0%,3109.0,Fabricarea de mobila n.c.a.,1.0,0.0,0.0,0%,3109.0,Fabricarea de mobila n.c.a.,nan,nan,nan,nan,nan,nan
PAO BOSS SRL,39358455,MUREŞ,-,0,0,0%,1610,Taierea si rindeluirea lemnului,0.0,0.0,0.0,0%,1610.0,Taierea si rindeluirea lemnului,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
PHOTO PRINTING TDA SRL,39358552,MUREŞ,-,10208,0,0%,7420,Activitati fotografice,4.0,45603.0,105044.0,0.01%,7420.0,Activitati fotografice,0.0,0.0,0.0,0%,7420.0,Activitati fotografice,0.0,0.0,0.0,0%,7420.0,Activitati fotografice
AHHA CUISINE S.R.L,39364600,BRAŞOV,0742372530,905039,0,0.05%,1089,Fabricarea altor produse alimentare n.c.a.,6.0,106715.0,0.0,0.01%,1089.0,Fabricarea altor produse alimentare n.c.a.,0.0,0.0,0.0,0%,1089.0,Fabricarea altor produse alimentare n.c.a.,0.0,0.0,0.0,0%,1089.0,Fabricarea altor produse alimentare n.c.a.
NEVERDOWN GYM SRL,39374205,ARGEŞ,0748952537,0,0,0%,9313,Activitati ale centrelor de fitness,3.0,0.0,0.0,0%,9313.0,Activitati ale centrelor de fitness,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
S.C. TORTURI SIBIU S.R.L.,39374434,SIBIU,0761608580,787575,53651,0.01%,1071,Fabricarea pâinii; fabricarea prajiturilor si a produselor proaspete de patiserie,2.0,502398.0,1997.0,0.01%,1071.0,Fabricarea pâinii; fabricarea prajiturilor si a produselor proaspete de patiserie,1.0,780333.0,24401.0,0.01%,1071.0,Fabricarea pâinii; fabricarea prajiturilor si a produselor proaspete de patiserie,1.0,172983.0,85946.0,0%,1071.0,Fabricarea pâinii; fabricarea prajiturilor si a produselor proaspete de patiserie
INSTALATII  TERMOSANITARE  SRL,39379180,ALBA,-,1400,1400,0%,4322,"Lucrari de instalatii sanitare, de încalzire si de aer conditionat",2.0,1200.0,790.0,0%,4322.0,"Lucrari de instalatii sanitare, de încalzire si de aer conditionat",0.0,0.0,0.0,0%,4322.0,"Lucrari de instalatii sanitare, de încalzire si de aer conditionat",0.0,0.0,0.0,0%,4322.0,"Lucrari de instalatii sanitare, de încalzire si de aer conditionat"
GRAVITY BOUTIQUE S.R.L.,39380681,MUREŞ,-,0,97710,0%,9313,Activitati ale centrelor de fitness,1.0,0.0,0.0,0%,9313.0,Activitati ale centrelor de fitness,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
SC LAUDEA DELICE SRL,39388952,MUREŞ,-,886927,158578,0.01%,1071,Fabricarea pâinii; fabricarea prajiturilor si a produselor proaspete de patiserie,4.0,167819.0,0.0,0%,1071.0,Fabricarea pâinii; fabricarea prajiturilor si a produselor proaspete de patiserie,0.0,0.0,0.0,0%,1071.0,Fabricarea pâinii; fabricarea prajiturilor si a produselor proaspete de patiserie,0.0,0.0,0.0,0%,1071.0,Fabricarea pâinii; fabricarea prajiturilor si a produselor proaspete de patiserie
S.C.ANABELLE FOODMED SRL,39389222,SIBIU,0758770818,526334,30555,0.26%,1085,Fabricarea de mâncaruri preparate,7.0,331234.0,0.0,0.16%,1085.0,Fabricarea de mâncaruri preparate,5.0,87565.0,0.0,0.04%,1085.0,Fabricarea de mâncaruri preparate,nan,nan,nan,nan,nan,nan
CUTIA CU ZAMBETE SRL,39401172,HARGHITA,0744891112,215439,17377,0.01%,1812,Alte activitati de tiparire n.c.a.,5.0,113935.0,0.0,0%,1812.0,Alte activitati de tiparire n.c.a.,4.0,3030.0,0.0,0%,1812.0,Alte activitati de tiparire n.c.a.,nan,nan,nan,nan,nan,nan
PAMCRI CONSTRUCT SRL,39404160,BRAŞOV,-,884295,76683,0.02%,2361,Fabricarea produselor din beton pentru constructii,10.0,700501.0,175467.0,0.02%,2361.0,Fabricarea produselor din beton pentru constructii,4.0,483244.0,147051.0,0.01%,2361.0,Fabricarea produselor din beton pentru constructii,2.0,47540.0,18814.0,0%,2361.0,Fabricarea produselor din beton pentru constructii
PCG SOFT DEV SRL-D,39404217,BRAŞOV,-,290314,5293,0%,6201,Activitati de realizare a software-ului la comanda (software orientat client),4.0,206025.0,0.0,0%,6201.0,Activitati de realizare a software-ului la comanda (software orientat client),4.0,32590.0,0.0,0%,6201.0,Activitati de realizare a software-ului la comanda (software orientat client),0.0,0.0,0.0,0%,6201.0,Activitati de realizare a software-ului la comanda (software orientat client)
CONFECTIA ABRUD S.R.L.,39409052,ALBA,-,67700,0,0%,1413,Fabricarea altor articole de îmbracaminte (exclusiv lenjeria de corp),6.0,37975.0,72208.0,0%,1413.0,Fabricarea altor articole de îmbracaminte (exclusiv lenjeria de corp),1.0,0.0,0.0,0%,1413.0,Fabricarea altor articole de îmbracaminte (exclusiv lenjeria de corp),nan,nan,nan,nan,nan,nan
S.C.LIGIA TERMO SERV SRL,39416947,BRAŞOV,0770810557,308617,76925,0.15%,1085,Fabricarea de mâncaruri preparate,3.0,60000.0,313.0,0.03%,1085.0,Fabricarea de mâncaruri preparate,0.0,0.0,0.0,0%,1085.0,Fabricarea de mâncaruri preparate,0.0,0.0,0.0,0%,1085.0,Fabricarea de mâncaruri preparate
BROD DESIGN COUTURE S.R.L.,39418107,SIBIU,-,454418,202677,0.13%,1399,Fabricarea altor articole textile n.c.a.,0.0,105171.0,0.0,0.03%,1399.0,Fabricarea altor articole textile n.c.a.,2.0,197150.0,95428.0,0.06%,1399.0,Fabricarea altor articole textile n.c.a.,0.0,0.0,0.0,0%,1399.0,Fabricarea altor articole textile n.c.a.
VIPTUR PRACTIC CONSTRUCT,39421625,ALBA,-,949796,201630,0.02%,2361,Fabricarea produselor din beton pentru constructii,7.0,699217.0,182047.0,0.02%,2361.0,Fabricarea produselor din beton pentru constructii,4.0,209685.0,114160.0,0.01%,2361.0,Fabricarea produselor din beton pentru constructii,nan,nan,nan,nan,nan,nan
APARTE STRUCT CONSTRUCT SRL,39421803,ALBA,-,850278,200879,0.02%,2361,Fabricarea produselor din beton pentru constructii,5.0,518218.0,292116.0,0.01%,2361.0,Fabricarea produselor din beton pentru constructii,0.0,0.0,0.0,0%,2361.0,Fabricarea produselor din beton pentru constructii,nan,nan,nan,nan,nan,nan
S.C.CLUBUL EVENIMENTELOR SRL,39429718,MUREŞ,-,323605,98840,0.16%,1085,Fabricarea de mâncaruri preparate,1.0,37000.0,0.0,0.02%,1085.0,Fabricarea de mâncaruri preparate,0.0,26000.0,13525.0,0.01%,1085.0,Fabricarea de mâncaruri preparate,0.0,0.0,0.0,0%,1085.0,Fabricarea de mâncaruri preparate
SC KANGENDREI SRL,39431955,SIBIU,0733194009,80861,0,0%,4619,Intermedieri în comertul cu produse diverse,1.0,28572.0,0.0,0%,4619.0,Intermedieri în comertul cu produse diverse,0.0,52153.0,0.0,0%,4619.0,Intermedieri în comertul cu produse diverse,0.0,8715.0,0.0,0%,4619.0,Intermedieri în comertul cu produse diverse
SC MARUCOMPANY SRL,39437206,MUREŞ,-,0,0,0%,1520,Fabricarea încaltamintei,4.0,0.0,0.0,0%,1520.0,Fabricarea încaltamintei,0.0,0.0,0.0,0%,1520.0,Fabricarea încaltamintei,nan,nan,nan,nan,nan,nan
ONOCAN COMPANY SRL,39437214,ALBA,-,257001,108365,0.01%,1520,Fabricarea încaltamintei,2.0,0.0,0.0,0%,1520.0,Fabricarea încaltamintei,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ENERGOSTEEL ART,39437672,BRAŞOV,-,57887475,5935935,0.6%,2511,Fabricarea de constructii metalice si parti componente ale structurilor metalice,53.0,33296636.0,4836096.0,0.35%,2511.0,Fabricarea de constructii metalice si parti componente ale structurilor metalice,23.0,12161607.0,1581385.0,0.13%,2511.0,Fabricarea de constructii metalice si parti componente ale structurilor metalice,2.0,2817288.0,111448.0,0.03%,2511.0,Fabricarea de constructii metalice si parti componente ale structurilor metalice
SC MITRU SWEET FACTORY SRL,39445624,MUREŞ,-,246160,15039,0%,1071,Fabricarea pâinii; fabricarea prajiturilor si a produselor proaspete de patiserie,2.0,63766.0,0.0,0%,4617.0,"Intermedieri în comertul cu produse alimentare, bauturi si tutun",0.0,0.0,0.0,0%,4617.0,"Intermedieri în comertul cu produse alimentare, bauturi si tutun",0.0,0.0,0.0,0%,4617.0,"Intermedieri în comertul cu produse alimentare, bauturi si tutun"
ATELIER CONLAN SRL,39446158,ALBA,-,1025933,153725,0.01%,2511,Fabricarea de constructii metalice si parti componente ale structurilor metalice,5.0,772019.0,63711.0,0.01%,2511.0,Fabricarea de constructii metalice si parti componente ale structurilor metalice,4.0,257601.0,65361.0,0%,2511.0,Fabricarea de constructii metalice si parti componente ale structurilor metalice,1.0,3500.0,0.0,0%,2511.0,Fabricarea de constructii metalice si parti componente ale structurilor metalice
THESSALUS MEDICII SRL-D,39451537,MUREŞ,-,0,0,0%,8622,Activitati de asistenta medicala specializata,2.0,0.0,0.0,0%,8622.0,Activitati de asistenta medicala specializata,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ATHARVA NATURIA SRL-D,39455474,MUREŞ,-,0,0,0%,8622,Activitati de asistenta medicala specializata,3.0,0.0,0.0,0%,8622.0,Activitati de asistenta medicala specializata,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
LFN ADVERTISING S.R.L.,39459727,COVASNA,0724072169,47886,0,0%,1812,Alte activitati de tiparire n.c.a.,5.0,1447251.0,81184.0,0.04%,1812.0,Alte activitati de tiparire n.c.a.,4.0,100000.0,75866.0,0%,1812.0,Alte activitati de tiparire n.c.a.,nan,nan,nan,nan,nan,nan
DEMACRITRANS.SRL,39460306,COVASNA,0784635236,161674,60592,0.01%,1310,Pregatirea fibrelor si filarea fibrelor textile,3.0,230219.0,13652.0,0.01%,1310.0,Pregatirea fibrelor si filarea fibrelor textile,2.0,250813.0,4551.0,0.01%,1310.0,Pregatirea fibrelor si filarea fibrelor textile,0.0,13368.0,2582.0,0%,5610.0,Restaurante
CLADIRI INTELIGENTE SRL,39472009,BRAŞOV,-,453133,0,0%,4322,"Lucrari de instalatii sanitare, de încalzire si de aer conditionat",8.0,240242.0,0.0,0%,4322.0,"Lucrari de instalatii sanitare, de încalzire si de aer conditionat",3.0,696416.0,368378.0,0.01%,4322.0,"Lucrari de instalatii sanitare, de încalzire si de aer conditionat",2.0,230051.0,105359.0,0%,4322.0,"Lucrari de instalatii sanitare, de încalzire si de aer conditionat"
S.C.HYDRA PRODEX SRL,39475137,BRAŞOV,0734702122,504345,33287,0.01%,2361,Fabricarea produselor din beton pentru constructii,7.0,211561.0,2344.0,0.01%,2361.0,Fabricarea produselor din beton pentru constructii,0.0,0.0,0.0,0%,2361.0,Fabricarea produselor din beton pentru constructii,0.0,0.0,0.0,0%,2361.0,Fabricarea produselor din beton pentru constructii
BOGDAN SILVA SRL,39476434,ALBA,0742052828,705984,41123,0.01%,1610,Taierea si rindeluirea lemnului,4.0,327799.0,0.0,0.01%,1610.0,Taierea si rindeluirea lemnului,1.0,0.0,0.0,0%,1610.0,Taierea si rindeluirea lemnului,0.0,0.0,0.0,0%,1610.0,Taierea si rindeluirea lemnului
LA CASA VLAD SRL,39489701,MUREŞ,0757709749,72000,7750,0%,1071,Fabricarea pâinii; fabricarea prajiturilor si a produselor proaspete de patiserie,4.0,124000.0,3917.0,0%,1071.0,Fabricarea pâinii; fabricarea prajiturilor si a produselor proaspete de patiserie,1.0,4000.0,1243.0,0%,1071.0,Fabricarea pâinii; fabricarea prajiturilor si a produselor proaspete de patiserie,nan,nan,nan,nan,nan,nan
S.C.CN GRILL MEAL SRL,39491469,BRAŞOV,0737242886,0,0,0%,2511,Fabricarea de constructii metalice si parti componente ale structurilor metalice,0.0,0.0,0.0,0%,2511.0,Fabricarea de constructii metalice si parti componente ale structurilor metalice,1.0,7299.0,0.0,0%,2511.0,Fabricarea de constructii metalice si parti componente ale structurilor metalice,0.0,0.0,0.0,0%,2511.0,Fabricarea de constructii metalice si parti componente ale structurilor metalice
S.C. GALAZEN PREST SRL,39503474,MUREŞ,-,0,17721,0%,1610,Taierea si rindeluirea lemnului,4.0,0.0,0.0,0%,1610.0,Taierea si rindeluirea lemnului,0.0,0.0,0.0,0%,1610.0,Taierea si rindeluirea lemnului,nan,nan,nan,nan,nan,nan
SC ALEDAV PLAST SRL,39512227,ALBA,0740838359,2738561,8047,0.05%,2223,Fabricarea articolelor din material plastic pentru constructii,11.0,1860742.0,35029.0,0.04%,2223.0,Fabricarea articolelor din material plastic pentru constructii,5.0,609934.0,0.0,0.01%,2223.0,Fabricarea articolelor din material plastic pentru constructii,0.0,59330.0,3679.0,0%,2223.0,Fabricarea articolelor din material plastic pentru constructii
S.C. CASA DEL PANE SRL-D,39532089,SIBIU,0721433511,0,0,0%,1071,Fabricarea pâinii; fabricarea prajiturilor si a produselor proaspete de patiserie,5.0,38306.0,0.0,0%,1071.0,Fabricarea pâinii; fabricarea prajiturilor si a produselor proaspete de patiserie,0.0,0.0,0.0,0%,1071.0,Fabricarea pâinii; fabricarea prajiturilor si a produselor proaspete de patiserie,0.0,0.0,0.0,0%,1071.0,Fabricarea pâinii; fabricarea prajiturilor si a produselor proaspete de patiserie
TUDORTRACKS S.R.L.,39540065,BRAŞOV,0743267972,75900,0,0.01%,4312,Lucrari de pregatire a terenului,5.0,153788.0,0.0,0.01%,4312.0,Lucrari de pregatire a terenului,3.0,31000.0,0.0,0%,4312.0,Lucrari de pregatire a terenului,1.0,19910.0,13447.0,0%,4941.0,Transporturi rutiere de marfuri
PROMESA METAL CONFECTION SRL,39549064,MUREŞ,0754080046,128304,16374,0%,2511,Fabricarea de constructii metalice si parti componente ale structurilor metalice,4.0,50951.0,0.0,0%,2511.0,Fabricarea de constructii metalice si parti componente ale structurilor metalice,0.0,0.0,0.0,0%,2511.0,Fabricarea de constructii metalice si parti componente ale structurilor metalice,nan,nan,nan,nan,nan,nan
S.C. TMT ADVANCED CONSTRUCTION S.R.L.,39557733,BRAŞOV,-,747900,219066,0.38%,8730,"ctivitati ale caminelor de batrâni si ale caminelor pentru persoane aflate în incapacitate de a se 
îngriji singure
",4.0,327100.0,130675.0,0.16%,8730.0,"ctivitati ale caminelor de batrâni si ale caminelor pentru persoane aflate în incapacitate de a se 
îngriji singure
",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
S.C. EURO FOREST CRISTEA SRL,39564153,HARGHITA,0747685017,1027516,153758,0.02%,1610,Taierea si rindeluirea lemnului,4.0,16597.0,0.0,0%,1610.0,Taierea si rindeluirea lemnului,0.0,0.0,0.0,0%,1610.0,Taierea si rindeluirea lemnului,0.0,0.0,0.0,0%,1610.0,Taierea si rindeluirea lemnului
S.C. ZEN RITUALS PRODUCT SRL,39565043,BRAŞOV,0720464908,277708,0,0%,4791,Comert cu amanuntul prin intermediul caselor de comenzi sau prin Internet,3.0,445669.0,0.0,0%,4791.0,Comert cu amanuntul prin intermediul caselor de comenzi sau prin Internet,0.0,370957.0,193227.0,0%,4791.0,Comert cu amanuntul prin intermediul caselor de comenzi sau prin Internet,1.0,56433.0,8367.0,0%,4791.0,Comert cu amanuntul prin intermediul caselor de comenzi sau prin Internet
ROGRABEN SRL,39571436,ALBA,0729529419,250000,111428,0.01%,812,Extractia pietrisului si nisipului; extractia argilei si caolinului,1.0,26369.0,1265.0,0%,812.0,Extractia pietrisului si nisipului; extractia argilei si caolinului,0.0,0.0,0.0,0%,812.0,Extractia pietrisului si nisipului; extractia argilei si caolinului,0.0,0.0,0.0,0%,812.0,Extractia pietrisului si nisipului; extractia argilei si caolinului
S.C. VEVSTONE MODE S.R.L.,39572334,ALBA,0743617670,257705,0,0.01%,812,Extractia pietrisului si nisipului; extractia argilei si caolinului,5.0,280120.0,19153.0,0.01%,812.0,Extractia pietrisului si nisipului; extractia argilei si caolinului,0.0,0.0,0.0,0%,812.0,Extractia pietrisului si nisipului; extractia argilei si caolinului,0.0,0.0,0.0,0%,812.0,Extractia pietrisului si nisipului; extractia argilei si caolinului
KENSILV TEXTILES SRL,39574378,MUREŞ,0744508900,492777,3758,0.01%,1392,Fabricarea de articole confectionate din textile (cu exceptia îmbracamintei si lenjeriei de corp),2.0,339165.0,11872.0,0.01%,1392.0,Fabricarea de articole confectionate din textile (cu exceptia îmbracamintei si lenjeriei de corp),0.0,0.0,0.0,0%,1392.0,Fabricarea de articole confectionate din textile (cu exceptia îmbracamintei si lenjeriei de corp),0.0,0.0,0.0,0%,1392.0,Fabricarea de articole confectionate din textile (cu exceptia îmbracamintei si lenjeriei de corp)
S.C. HOT STICKERS SRL,39595427,BRAŞOV,-,47423,0,0%,2221,"Fabricarea placilor, foliilor, tuburilor si profilelor din material plastic",4.0,62164.0,0.0,0%,2221.0,"Fabricarea placilor, foliilor, tuburilor si profilelor din material plastic",0.0,0.0,0.0,0%,2221.0,"Fabricarea placilor, foliilor, tuburilor si profilelor din material plastic",0.0,0.0,0.0,0%,2221.0,"Fabricarea placilor, foliilor, tuburilor si profilelor din material plastic"
S.C. HIDRAULIC RCV S.R.L.,39595435,BRAŞOV,-,19114,0,0.01%,2812,Fabricarea de motoare hidraulice,3.0,25798.0,0.0,0.02%,2812.0,Fabricarea de motoare hidraulice,0.0,0.0,0.0,0%,2812.0,Fabricarea de motoare hidraulice,0.0,0.0,0.0,0%,2812.0,Fabricarea de motoare hidraulice
FAMILIA RAMZIOVICI S.R.L.,39611840,BRAŞOV,-,530919,23179,4.28%,8790,"Alte activitati de asistenta sociala, cu cazare n.c.a.",0.0,297598.0,961.0,2.4%,8790.0,"Alte activitati de asistenta sociala, cu cazare n.c.a.",5.0,33509.0,0.0,0.27%,8790.0,"Alte activitati de asistenta sociala, cu cazare n.c.a.",0.0,0.0,0.0,0%,8790.0,"Alte activitati de asistenta sociala, cu cazare n.c.a."
ELPAVANDEZIT SRL,39615826,HARGHITA,0748255947,242655,47337,0.05%,2370,"Taierea, fasonarea si finisarea pietrei",3.0,172715.0,0.0,0.03%,2370.0,"Taierea, fasonarea si finisarea pietrei",1.0,0.0,0.0,0%,2370.0,"Taierea, fasonarea si finisarea pietrei",0.0,0.0,0.0,0%,2370.0,"Taierea, fasonarea si finisarea pietrei"
S.C.FOODPLACE SRL,39620288,ALBA,-,160554,1931,0.08%,1085,Fabricarea de mâncaruri preparate,4.0,113414.0,0.0,0.06%,1085.0,Fabricarea de mâncaruri preparate,1.0,0.0,0.0,0%,1085.0,Fabricarea de mâncaruri preparate,nan,nan,nan,nan,nan,nan
S.C.CODEMIRA FAIN SRL,39623110,ALBA,0745599817,0,0,0%,1071,Fabricarea pâinii; fabricarea prajiturilor si a produselor proaspete de patiserie,1.0,0.0,0.0,0%,1071.0,Fabricarea pâinii; fabricarea prajiturilor si a produselor proaspete de patiserie,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
LACEDREAMS SRL,39630052,MARAMUREŞ,0740996990,0,0,0%,1413,Fabricarea altor articole de îmbracaminte (exclusiv lenjeria de corp),1.0,0.0,0.0,0%,1413.0,Fabricarea altor articole de îmbracaminte (exclusiv lenjeria de corp),0.0,0.0,0.0,0%,1413.0,Fabricarea altor articole de îmbracaminte (exclusiv lenjeria de corp),0.0,0.0,0.0,0%,1413.0,Fabricarea altor articole de îmbracaminte (exclusiv lenjeria de corp)
SORI AUTO GARAGE SRL,39630036,SIBIU,0741937273,98894,0,0%,4520,Întretinerea si repararea autovehiculelor,4.0,41086.0,0.0,0%,4520.0,Întretinerea si repararea autovehiculelor,0.0,20076.0,0.0,0%,4520.0,Întretinerea si repararea autovehiculelor,0.0,3100.0,2810.0,0%,4520.0,Întretinerea si repararea autovehiculelor
ANIMA DRAMA STUDIO SRL,39634950,BRAŞOV,-,204703,1310,0.12%,8552,"Învatamânt în domeniul cultural (limbi straine, muzica, teatru, dans, arte plastice, si alte arte",3.0,72181.0,0.0,0.04%,8552.0,"Învatamânt în domeniul cultural (limbi straine, muzica, teatru, dans, arte plastice, si alte arte",1.0,6984.0,0.0,0%,8552.0,"Învatamânt în domeniul cultural (limbi straine, muzica, teatru, dans, arte plastice, si alte arte",0.0,0.0,0.0,0%,8552.0,"Învatamânt în domeniul cultural (limbi straine, muzica, teatru, dans, arte plastice, si alte arte"
S.C. ZECE CURAT S.R.L.,39636985,BRAŞOV,0723136957,259289,0,0.02%,8121,Activitati generale (nespecializate) de curatenie interioara a cladirilor,5.0,245564.0,47759.0,0.02%,8121.0,Activitati generale (nespecializate) de curatenie interioara a cladirilor,4.0,130402.0,35052.0,0.01%,8121.0,Activitati generale (nespecializate) de curatenie interioara a cladirilor,nan,nan,nan,nan,nan,nan
AIM HIGH ENGINEERING SRL,39646032,HARGHITA,-,692948,168415,0%,4211,Lucrari de constructii a drumurilor si autostrazilor,5.0,0.0,0.0,0%,8559.0,Alte forme de învatamânt n.c.a.,0.0,0.0,0.0,0%,8559.0,Alte forme de învatamânt n.c.a.,0.0,0.0,0.0,0%,8559.0,Alte forme de învatamânt n.c.a.
ZACHIU DECOR SRL,39654361,ALBA,0748794010,508766,152850,0.04%,4312,Lucrari de pregatire a terenului,5.0,276154.0,20937.0,0.02%,4312.0,Lucrari de pregatire a terenului,0.0,0.0,0.0,0%,4312.0,Lucrari de pregatire a terenului,0.0,227000.0,132171.0,0.02%,4312.0,Lucrari de pregatire a terenului
TPD TRANSMISION POWER DRIWE SRL,39664608,MUREŞ,-,165555,949,0.01%,7120,Activitati de testare si analize tehnice,4.0,135835.0,303.0,0%,7120.0,Activitati de testare si analize tehnice,0.0,14630.0,0.0,0%,7120.0,Activitati de testare si analize tehnice,0.0,6000.0,5673.0,0%,7120.0,Activitati de testare si analize tehnice
S.C. MARIBIOPELET S.R.L.,39672317,ALBA,-,0,0,0%,1629,"Fabricarea altor produse din lemn; fabricarea articolelor din pluta, paie si din alte materiale vegetale împletite",4.0,0.0,0.0,0%,1629.0,"Fabricarea altor produse din lemn; fabricarea articolelor din pluta, paie si din alte materiale vegetale împletite",0.0,0.0,0.0,0%,1629.0,"Fabricarea altor produse din lemn; fabricarea articolelor din pluta, paie si din alte materiale vegetale împletite",0.0,0.0,0.0,0%,1629.0,"Fabricarea altor produse din lemn; fabricarea articolelor din pluta, paie si din alte materiale vegetale împletite"
START POLE POSITION,39678034,SIBIU,-,24168,0,0%,1812,Alte activitati de tiparire n.c.a.,3.0,25651.0,0.0,0%,1812.0,Alte activitati de tiparire n.c.a.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
